frame_filename,blender_render_time_sec,blender_psnr,blender_ssim,blender_lpips,gs_render_time_sec,gs_psnr,gs_ssim,gs_lpips
0,,,,,0.1,28.87544631958008,0.9125316143035888,0.0149
1,1.52,18.725759506225582,0.8078750371932983,0.1577,0.1,22.727195739746094,0.8949809074401855,0.0548
2,1.17,18.818660736083984,0.810845136642456,0.1582,0.1,21.573841094970703,0.8916066884994507,0.0629
3,1.12,18.896259307861328,0.8102517127990723,0.1593,0.1,21.630889892578125,0.8886719942092896,0.068
4,1.14,18.921525955200195,0.8099674582481384,0.1605,0.1,20.35176467895508,0.8828223943710327,0.0796
5,1.15,18.95759391784668,0.8101245760917664,0.161,0.1,19.423891067504883,0.8806523680686951,0.0936
6,1.15,18.93219566345215,0.8104972839355469,0.1617,0.1,18.51732063293457,0.8737231492996216,0.104
7,1.13,18.897968292236328,0.8092500567436218,0.1628,0.1,18.05561637878418,0.874455451965332,0.1156
8,1.15,18.976957321166992,0.8094370365142822,0.1625,0.1,18.033302307128903,0.8713588118553162,0.1225
9,1.17,19.040992736816406,0.8103780150413513,0.1598,0.1,17.43998146057129,0.8639873266220093,0.1408
10,1.15,19.136268615722656,0.8111515045166016,0.1573,0.1,16.855281829833984,0.85890793800354,0.1498
11,1.14,19.238853454589844,0.8121508955955505,0.1552,0.1,16.08564567565918,0.855839729309082,0.1573
12,1.14,19.376127243041992,0.8140817880630493,0.153,0.1,15.22021198272705,0.8518049120903015,0.1773
13,1.15,19.502700805664062,0.8143781423568726,0.1511,,,,
14,1.15,19.58389663696289,0.8153674006462097,0.1491,,,,
15,1.16,19.61609268188477,0.8162664175033569,0.1487,,,,
16,1.16,19.624460220336918,0.816238284111023,0.1499,,,,
17,1.15,19.62872314453125,0.8172628879547119,0.149,,,,
18,1.16,19.59839630126953,0.8166958093643188,0.1489,,,,
19,1.14,19.5474853515625,0.8177560567855835,0.1487,,,,
20,1.16,19.50644874572754,0.818264365196228,0.1483,,,,
21,1.15,19.438926696777344,0.8159446716308594,0.1493,,,,
22,1.15,19.365867614746094,0.8176606893539429,0.1493,,,,
23,1.13,19.246681213378903,0.8164834976196289,0.1534,,,,
24,1.15,19.088285446166992,0.813745379447937,0.1553,,,,
25,1.14,18.942909240722656,0.8120631575584412,0.1569,,,,
26,1.21,18.907594680786133,0.812393069267273,0.1549,,,,
27,1.2,18.959152221679688,0.8125805854797363,0.1538,,,,
28,1.2,19.119888305664062,0.8133749961853027,0.1517,,,,
29,1.19,19.160839080810547,0.8134546279907227,0.1518,,,,
30,1.22,19.0764274597168,0.8119003772735596,0.1538,,,,
31,1.22,18.997596740722656,0.8118879199028015,0.1566,,,,
32,1.22,18.977615356445312,0.8114107847213745,0.1575,,,,
33,1.23,18.92055892944336,0.8111202120780945,0.1592,,,,
34,1.24,18.965526580810547,0.8122913837432861,0.1581,,,,
35,1.22,19.091053009033203,0.8113621473312378,0.1576,,,,
36,1.27,19.27348518371582,0.8117019534111023,0.1576,,,,
37,1.28,19.458106994628903,0.8129076361656189,0.1549,,,,
38,1.26,19.63692855834961,0.8147110939025879,0.1499,,,,
39,1.27,19.80411148071289,0.816002607345581,0.1473,,,,
40,1.32,20.01105117797852,0.8165368437767029,0.1458,,,,
41,1.37,20.26638412475586,0.8171829581260681,0.1424,,,,
42,1.28,20.55951690673828,0.8181718587875366,0.1401,,,,
43,1.3,20.899776458740234,0.8218318223953247,0.1351,,,,
44,1.3,21.165454864501957,0.8222977519035339,0.1324,,,,
45,1.3,21.411407470703125,0.8241996765136719,0.1308,,,,
46,1.31,21.536792755126957,0.825642466545105,0.1273,,,,
47,1.3,21.77553939819336,0.8278335332870483,0.1228,,,,
48,1.3,22.025035858154297,0.8288826942443848,0.1189,,,,
49,1.3,21.912567138671875,0.8301988840103149,0.1216,,,,
50,1.3,21.36064720153809,0.8269892930984497,0.1315,,,,
51,1.34,20.940937042236328,0.8245140314102173,0.1357,,,,
52,1.31,20.80959129333496,0.824455738067627,0.1375,,,,
53,1.33,20.548023223876957,0.8224400281906128,0.1385,,,,
54,1.32,20.43172645568848,0.8228782415390015,0.1394,,,,
55,1.33,20.34971046447754,0.8213999271392822,0.1398,,,,
56,1.32,20.28051376342773,0.8211223483085632,0.1392,,,,
57,1.33,20.198938369750977,0.8214961290359497,0.1399,,,,
58,1.32,20.09261131286621,0.8216304779052734,0.139,,,,
59,1.33,20.008649826049805,0.8222302198410034,0.1399,,,,
60,1.31,19.86576271057129,0.8193284869194031,0.1422,,,,
61,1.32,19.68100357055664,0.8186604976654053,0.1454,,,,
62,1.29,19.506521224975582,0.8180915713310242,0.1449,,,,
63,1.3,19.33955764770508,0.817557692527771,0.1446,,,,
64,1.28,19.193248748779297,0.8164728879928589,0.1452,,,,
65,1.31,19.12002944946289,0.8157229423522949,0.1475,,,,
66,1.32,19.10121154785156,0.8152028918266296,0.1486,,,,
67,1.32,19.107149124145508,0.8158231973648071,0.1489,,,,
68,1.31,19.087661743164062,0.8152545690536499,0.1509,,,,
69,1.32,19.062530517578125,0.8153178095817566,0.1509,,,,
70,1.31,19.023216247558597,0.8148583769798279,0.1515,,,,
71,1.32,18.9072322845459,0.8160893321037292,0.1524,,,,
72,1.31,18.844146728515625,0.814807116985321,0.1537,,,,
73,1.32,18.80693626403809,0.814342737197876,0.1549,,,,
74,1.32,18.73807716369629,0.8132678866386414,0.1564,,,,
75,1.32,18.64988136291504,0.8142110705375671,0.1567,,,,
76,1.32,18.51720428466797,0.8120824694633484,0.1587,,,,
77,1.34,18.39591217041016,0.8116094470024109,0.1601,,,,
78,1.31,18.37927627563477,0.811151385307312,0.1632,,,,
79,1.32,18.32267951965332,0.810346782207489,0.1654,,,,
80,1.34,18.26031494140625,0.8079232573509216,0.1656,,,,
81,1.32,18.251728057861328,0.8079439997673035,0.1659,,,,
82,1.35,18.23514747619629,0.8079638481140137,0.1657,,,,
83,1.33,18.202341079711918,0.8076321482658386,0.167,,,,
84,1.33,18.179096221923828,0.8059481382369995,0.1679,,,,
85,1.31,18.14532852172852,0.8056237101554871,0.1721,,,,
86,1.32,18.083301544189453,0.8029715418815613,0.1746,,,,
87,1.33,18.05028533935547,0.8025972843170166,0.1755,,,,
88,1.33,18.102033615112305,0.8015966415405273,0.1738,,,,
89,1.31,18.23435401916504,0.8035296201705933,0.1729,,,,
90,1.32,18.308439254760746,0.8031477332115173,0.1693,,,,
91,1.32,18.34765625,0.803329586982727,0.1671,,,,
92,1.34,18.42116928100586,0.8029416799545288,0.164,,,,
93,1.36,18.51395797729492,0.8036803007125854,0.1619,,,,
94,1.33,18.5966911315918,0.8053926229476929,0.1601,,,,
95,1.32,18.560035705566406,0.8041778802871704,0.1612,,,,
96,1.34,18.49910926818848,0.804161787033081,0.1589,,,,
97,1.34,18.51572036743164,0.8053199648857117,0.1593,,,,
98,1.33,18.574153900146484,0.8068553805351257,0.1583,,,,
99,1.34,18.64636993408203,0.8076948523521423,0.1587,,,,
100,1.44,18.725780487060547,0.8078751564025879,0.1577,,,,
